month,avg_price,total_volume,avg_daily_return
2024-12,5359.52,8658382344836.12,-0.35
2025-01,5283.48,6436681819364.18,0.17
2025-02,4863.87,5120688249720.83,-0.77
2025-03,4149.08,4325197265646.99,-0.26
2025-04,4129.62,3859161047073.49,0.27
2025-05,4955.29,4730943153199.01,0.27
2025-06,5029.17,3500880622232.23,0.01
2025-07,5426.06,7336426477762.6,0.58
2025-08,5465.02,6998258753686.42,0.24
2025-09,5209.05,6459058732939.8,0.19
2025-10,5169.21,9443380980547.81,-0.28
2025-11,4341.75,7864503544420.36,-0.18
2025-12,4025.41,921650567698.91,0.31
